Date,Close,Return,Volatility,RSI,Return_Bin,Vol_Bin,RSI_Signal,Observation
2015-04-24 00:00:00-04:00,178.07669067382812,0.2320194781275208,0.0602704963943664,59.945917360311086,Medium,Low,Neutral,"('Medium', 'Low', 'Neutral')"
2015-04-27 00:00:00-04:00,177.33628845214844,-0.4157771681841504,0.0565012615399338,59.945917360311086,Low,Low,Neutral,"('Low', 'Low', 'Neutral')"
2015-04-28 00:00:00-04:00,177.89999389648438,0.3178737128515241,0.0549177516001266,59.945917360311086,Medium,Low,Neutral,"('Medium', 'Low', 'Neutral')"
2015-04-29 00:00:00-04:00,177.16806030273438,-0.4114298026203999,0.0594501748547929,59.945917360311086,Low,Low,Neutral,"('Low', 'Low', 'Neutral')"
2015-04-30 00:00:00-04:00,175.3927764892578,-1.0020337810568436,0.0862574093341839,59.945917360311086,Low,Low,Neutral,"('Low', 'Low', 'Neutral')"
2015-05-01 00:00:00-04:00,177.2942352294922,1.084114624498711,0.1275509554314311,59.945917360311086,High,High,Neutral,"('High', 'High', 'Neutral')"
2015-05-04 00:00:00-04:00,177.79904174804688,0.2847281063037776,0.125871635580507,59.945917360311086,Medium,High,Neutral,"('Medium', 'High', 'Neutral')"
2015-05-05 00:00:00-04:00,175.76295471191406,-1.1451619851911676,0.1476881895457318,59.945917360311086,Low,High,Neutral,"('Low', 'High', 'Neutral')"
2015-05-06 00:00:00-04:00,175.03933715820312,-0.4117008358769269,0.1476901710297167,59.945917360311086,Low,High,Neutral,"('Low', 'High', 'Neutral')"
2015-05-07 00:00:00-04:00,175.7377166748047,0.398984324289553,0.134959794435412,61.79685797329051,High,High,Neutral,"('High', 'High', 'Neutral')"
2015-05-08 00:00:00-04:00,178.05148315429688,1.316602106407072,0.1465864304851881,67.20412303435717,High,High,Neutral,"('High', 'High', 'Neutral')"
2015-05-11 00:00:00-04:00,177.20164489746094,-0.4772991731270659,0.1500218537647955,63.64110730651348,Low,High,Neutral,"('Low', 'High', 'Neutral')"
2015-05-12 00:00:00-04:00,176.67156982421875,-0.2991366550513241,0.1205085535409171,61.45260063144402,Low,High,Neutral,"('Low', 'High', 'Neutral')"
2015-05-13 00:00:00-04:00,176.70526123046875,0.0190700780456687,0.1125024000143927,61.54312189627252,Medium,Low,Neutral,"('Medium', 'Low', 'Neutral')"
2015-05-14 00:00:00-04:00,178.54786682128906,1.0427564963202185,0.1280504077793644,66.21581167544932,High,High,Neutral,"('High', 'High', 'Neutral')"
2015-05-15 00:00:00-04:00,178.7413330078125,0.108355361488055,0.0931386287906195,66.67367693574965,Medium,Low,Neutral,"('Medium', 'Low', 'Neutral')"
2015-05-18 00:00:00-04:00,179.2966766357422,0.3106968145445199,0.0792889892298099,68.01375135882925,Medium,Low,Neutral,"('Medium', 'Low', 'Neutral')"
2015-05-19 00:00:00-04:00,179.23773193359375,-0.0328755129511915,0.06963153146843,67.7025694522336,Medium,Low,Neutral,"('Medium', 'Low', 'Neutral')"
2015-05-20 00:00:00-04:00,179.11160278320312,-0.0703697536394543,0.0720590043748028,66.99621409091202,Medium,Low,Neutral,"('Medium', 'Low', 'Neutral')"
2015-05-21 00:00:00-04:00,179.63323974609375,0.291235718281202,0.0280748868384344,68.46173965693114,Medium,Low,Neutral,"('Medium', 'Low', 'Neutral')"
2015-05-22 00:00:00-04:00,179.20411682128906,-0.2388883735611746,0.0381214358314095,65.87043651714848,Low,Low,Neutral,"('Low', 'Low', 'Neutral')"
